,window_size(minutes),dt(minutes),max_dist(deg),min_samples,grid_km,pred(hours),thr(%),thr_future(%),tn,fp,fn,tp,roc_auc,accuracy,precision,recall,f1,hss,hss2,tss,csi,n_cases,gauss_bandwith
462,0 days 00:15:00,0 days 00:30:00,0.3,3,10,1,2.188663344832312e-34,0.99,2569364,600165,99832,398391,0.8827337414357355,0.809148219399785,0.39896710850468076,0.7996238632098478,0.532331092298863,0.4288040900169196,0.21440204500845972,0.6102692303921642,0.36270516429531274,842,0.1
463,0 days 00:15:00,0 days 00:30:00,0.3,3,10,1,3.348190190222036e-30,0.95,2663842,636515,72122,295273,0.8824226962862766,0.8067925530406636,0.3168886055626387,0.803693572313178,0.4545518221836338,0.3630289223920214,0.18151446119601075,0.6108311031924132,0.2941229791515176,842,0.1
464,0 days 00:15:00,0 days 00:30:00,0.3,3,10,1,1.312085277177639e-27,0.9,2720348,646750,59227,241427,0.8821775822421174,0.8075177929151153,0.27182307130222916,0.8030061133395864,0.4061586550148844,0.32327070522365337,0.16163535261182677,0.6109267619218374,0.2548300408273556,842,0.1
465,0 days 00:15:00,0 days 00:30:00,0.3,3,10,1,2.115882934358151e-24,0.8,2791388,650748,45256,180360,0.8814503221535371,0.8102368971511705,0.21701150752970733,0.7994113892631728,0.34135687275012205,0.2707994322739793,0.13539971613698962,0.6103578480899013,0.20580489385689052,842,0.1
466,0 days 00:15:00,0 days 00:30:00,0.3,3,10,1,1.0070786193088124e-23,0.7,2813993,676931,35002,141826,0.8799453690720593,0.8058939099481099,0.17322111444543375,0.8020562354378266,0.2849098771074293,0.22332145807116918,0.11166072903558448,0.6081445375607029,0.16611947868192312,842,0.1
467,0 days 00:15:00,0 days 00:30:00,0.3,3,10,1,1.154327850288531e-23,0.6,2823052,705269,27040,112391,0.8783105442920542,0.8003384634511821,0.13745444316708658,0.8060689516678501,0.23485959015391433,0.18170787712850733,0.09085393856425367,0.6061809596172402,0.13305433881851544,842,0.1
468,0 days 00:15:00,0 days 00:30:00,0.3,3,10,1,2.716312551325554e-23,0.5,2836038,723180,21113,87421,0.8762999017429142,0.7970710669641786,0.10784714057841034,0.8054710966148857,0.19022450456135387,0.14563126532545426,0.07281563266272718,0.6022860149480701,0.10510944868067629,842,0.1
469,0 days 00:15:00,0 days 00:30:00,0.3,3,10,2,3.2591125806659986e-59,0.99,2287776,901637,110634,367705,0.8151671882636574,0.7240077846048478,0.2896815830564182,0.7687121476609685,0.42079189508840575,0.28541820876926544,0.14270910438463283,0.486015300310061,0.2664575325947698,842,0.1
470,0 days 00:15:00,0 days 00:30:00,0.3,3,10,2,4.7271619750357126e-54,0.95,2375272,939689,81458,271333,0.814501350208777,0.7215877736553616,0.2240529073790567,0.769104087122404,0.34701463666052146,0.23270677279478963,0.11635338639739481,0.4856349905025644,0.209932068581332,842,0.1
471,0 days 00:15:00,0 days 00:30:00,0.3,3,10,2,1.0757335394115827e-49,0.9,2439866,939192,68276,220418,0.814285995965285,0.7253173060774011,0.19007942325437,0.7635004537676571,0.3043808482197108,0.20405758205074614,0.10202879102537306,0.48555553539099705,0.1795101499650619,842,0.1
