,window_size(minutes),dt(minutes),max_dist(deg),min_samples,grid_km,pred(hours),thr(%),thr_future(%),tn,fp,fn,tp,roc_auc,accuracy,precision,recall,f1,hss,hss2,tss,csi,n_cases,gauss_bandwith
1120,0 days 00:30:00,0 days 00:15:00,0.2,3,10,5,7.1677898090053e-279,0.99,1326975,817984,87636,119645,0.6116860133977114,0.614996769037173,0.12760377505388593,0.5772116112909529,0.20900332777248867,0.07557816635053445,0.03778908317526727,0.19585979990434832,0.11669665891257382,540,0.1
1121,0 days 00:30:00,0 days 00:15:00,0.2,3,10,5,5.867299943160493e-275,0.95,1358227,842403,63290,88320,0.6141051361411609,0.6149657347889671,0.09489396952691617,0.5825473253743156,0.1632030068380064,0.0588798202026642,0.029439910101332158,0.19974649106777614,0.08885195666455066,540,0.1
1122,0 days 00:30:00,0 days 00:15:00,0.2,3,10,5,4.1166639632419865e-265,0.9,1387063,841550,52144,71483,0.6149691529037945,0.6200668299153148,0.07829180325355162,0.578215114821196,0.13791021164123243,0.049956243762024934,0.024978121881012366,0.20060356898528825,0.07406206322778101,540,0.1
1123,0 days 00:30:00,0 days 00:15:00,0.2,3,10,5,4.5268668198531717e-265,0.8,1400644,859152,38633,53811,0.6161030875755296,0.6183276366357174,0.05894105237561654,0.5820929427545325,0.1070432173239295,0.03841103017033984,0.01920551508516991,0.20190287250040334,0.05654815699099198,540,0.1
1124,0 days 00:30:00,0 days 00:15:00,0.2,3,10,5,4.531541436673518e-265,0.7,1409204,870738,30075,42223,0.616414449565885,0.6170403530252015,0.04624841586880491,0.5840133890287421,0.08570944289775582,0.030485046856745007,0.015242523428372512,0.20210104213570712,0.04477347630419199,540,0.1
1125,0 days 00:30:00,0 days 00:15:00,0.2,3,10,5,4.1166639632419865e-265,0.6,1415649,879629,23558,33404,0.6168729239153603,0.616031102268476,0.036585753198405756,0.5864260384115726,0.06887458182774138,0.02439887426339479,0.01219943713169738,0.20319185065740947,0.0356655146163053,540,0.1
1126,0 days 00:30:00,0 days 00:15:00,0.2,3,10,5,4.1166639632419865e-265,0.5,1420923,887006,18284,26027,0.6165740787347109,0.6151370608441316,0.02850608904606953,0.5873710816727223,0.05437334960056155,0.0191289356128143,0.00956446780640708,0.20304123443738709,0.027946445732226512,540,0.1
1127,0 days 00:30:00,0 days 00:15:00,0.2,3,10,6,4.883082218261418e-249,0.99,1481940,675025,103646,91629,0.5855648176485222,0.6689661769207224,0.11951806160275691,0.4692305722698758,0.19051094207576652,0.06705649300429467,0.033528246502147405,0.15627927264285357,0.10528438469493279,540,0.1
1128,0 days 00:30:00,0 days 00:15:00,0.2,3,10,6,4.582730041268857e-260,0.95,1494050,715687,73608,68895,0.5871353689737057,0.6644496309900351,0.08781108921693334,0.483463506031452,0.1486271485354633,0.05135340990273959,0.025676704951369738,0.15958469149379434,0.08027942530208929,540,0.1
1129,0 days 00:30:00,0 days 00:15:00,0.2,3,10,6,3.404757029544833e-265,0.9,1500361,735774,59258,56847,0.587480175570595,0.6620106791823963,0.071720279932023,0.48961715688385515,0.1251136206073118,0.042683184922418564,0.02134159246120942,0.16057888325547404,0.06673130808483364,540,0.1
1130,0 days 00:30:00,0 days 00:15:00,0.2,3,10,6,5.446890113017848e-260,0.8,1523448,742101,44328,42363,0.5874041388096437,0.665668044077135,0.05400247812519121,0.4886666435962211,0.09725708972570896,0.03307834022618654,0.016539170113093308,0.16110762809931506,0.05111415168100078,540,0.1
1131,0 days 00:30:00,0 days 00:15:00,0.2,3,10,6,7.709806812958852e-274,0.7,1512526,771947,34012,33755,0.5866085488102339,0.6573653198653199,0.04189514237273831,0.49810379683326694,0.07728952029207677,0.02549577751290934,0.012747888756454629,0.16019347791069705,0.04019821034304537,540,0.1
1132,0 days 00:30:00,0 days 00:15:00,0.2,3,10,6,3.2645273787238627e-268,0.6,1528182,770695,26871,26492,0.5870262944704604,0.6609334081556304,0.03323185149782924,0.4964488503270056,0.06229380988771971,0.020646351152052125,0.010323175576026104,0.1612003790081834,0.032148222576566216,540,0.1
1133,0 days 00:30:00,0 days 00:15:00,0.2,3,10,6,3.1089523613302934e-266,0.5,1537174,773582,20897,20587,0.5875647038660454,0.6622457742407237,0.025922694036156033,0.4962636197088034,0.049271647442179954,0.016297017338774585,0.0081485086693873,0.16148919956232322,0.02525807726000103,540,0.1
1134,0 days 00:30:00,0 days 00:15:00,0.3,3,2,1,3.891016026061598e-65,0.99,37779175,13918757,2004813,5756655,0.8096051862810982,0.7321942367396913,0.2925811667882736,0.741696673876643,0.41962898113779695,0.28594698830389254,0.1429734941519462,0.4724642991657938,0.26552561147312814,546,0.1
1135,0 days 00:30:00,0 days 00:15:00,0.3,3,2,1,1.1756630475091704e-59,0.95,39264856,14461421,1473440,4259683,0.8101837083145348,0.7320043424588879,0.22753375014635888,0.742995222673576,0.3483800980501244,0.23551879450730892,0.11775939725365453,0.47382672994514813,0.21093236866353604,546,0.1
1136,0 days 00:30:00,0 days 00:15:00,0.3,3,2,1,8.760409234560906e-58,0.9,39889630,14873937,1184227,3511606,0.8112900467631772,0.7299306081124263,0.19099822072157455,0.7478132207853218,0.30428047270665315,0.20414951577482937,0.10207475788741478,0.4762104415142052,0.17944033067327822,546,0.1
1137,0 days 00:30:00,0 days 00:15:00,0.3,3,2,1,6.632637100604027e-54,0.8,40897274,15033727,889506,2638893,0.8125971792310205,0.7321999044726317,0.14932098353271897,0.7479009601805238,0.24894020424206967,0.16647937070349492,0.08323968535174751,0.47911036585520494,0.14216545022913862,546,0.1
1138,0 days 00:30:00,0 days 00:15:00,0.3,3,2,1,2.1586217042094936e-52,0.7,41382116,15308568,689299,2079417,0.8132679245186742,0.7309446950356041,0.11958930261327003,0.751040193360388,0.20632513227238922,0.13699344293656654,0.06849672146828324,0.4810034444652785,0.11502928205365363,546,0.1
1139,0 days 00:30:00,0 days 00:15:00,0.3,3,2,1,9.45431005281084e-49,0.6,42214136,15059735,557743,1627786,0.8135038724865785,0.7373421527966982,0.09754510571102802,0.7448018305865537,0.17249845679421186,0.11497126801291631,0.057485634006458244,0.4818593275383487,0.09439032072805612,546,0.1
1140,0 days 00:30:00,0 days 00:15:00,0.3,3,2,1,1.8797321559972437e-45,0.5,42980356,14776084,445906,1257054,0.8134742215351254,0.7439935485390031,0.07840349156852514,0.7381582656081176,0.14175090823246467,0.09488259913080048,0.047441299565400226,0.4823238686127349,0.07628197363876206,546,0.1
1141,0 days 00:30:00,0 days 00:15:00,0.3,3,2,2,1.2396001505681778e-127,0.99,33580372,18493140,2180508,5205380,0.7250530003330078,0.6523064813973904,0.2196500034601317,0.7047737523233496,0.3349190372227774,0.17951536924914183,0.08975768462457093,0.3496384966102339,0.20114279408021044,546,0.1
1142,0 days 00:30:00,0 days 00:15:00,0.3,3,2,2,3.3908411101725595e-125,0.95,34458418,19553387,1560249,3887346,0.7259728243108481,0.6449066758157668,0.1658372201927303,0.7135893912818408,0.26912917909267714,0.14148156810626325,0.07074078405313151,0.3515687737520249,0.1554877324418697,546,0.1
1143,0 days 00:30:00,0 days 00:15:00,0.3,3,2,2,1.6372497790957078e-118,0.9,35439737,19559684,1299870,3160109,0.7268927553783124,0.6491798773616956,0.1390905718199105,0.7085479550464251,0.23253388586188287,0.12249376494776018,0.0612468824738801,0.3529135930046865,0.13156341952008235,546,0.1
1144,0 days 00:30:00,0 days 00:15:00,0.3,3,2,2,1.7212121569596522e-112,0.8,36421722,19686063,986257,2365358,0.728483428521311,0.6523288159651796,0.10726555898597193,0.7057367865939256,0.18622640223003264,0.09794987794679286,0.04897493897339654,0.35487526176274575,0.10267345519804556,546,0.1
1145,0 days 00:30:00,0 days 00:15:00,0.3,3,2,2,2.5283034715942574e-105,0.7,37429973,19399674,797273,1832480,0.7290999351828683,0.6603237335055517,0.08630683443611044,0.6968258996187094,0.15359040666783252,0.08128077601997954,0.04064038800998967,0.3554605203827624,0.0831832802550879,546,0.1
1146,0 days 00:30:00,0 days 00:15:00,0.3,3,2,2,8.313737622544996e-99,0.6,38346155,19038013,649868,1425364,0.7292211038752983,0.6688853066125794,0.06965438793411273,0.6868456153336109,0.12648198475779937,0.06737578863977915,0.033687894319889555,0.355081408174591,0.06751041822325275,546,0.1
1147,0 days 00:30:00,0 days 00:15:00,0.3,3,2,2,6.122375286432262e-97,0.5,38711026,19132237,509582,1106555,0.7290206299248314,0.6696599864781683,0.05467495293197341,0.6846913349548955,0.10126365544358437,0.053621927743747105,0.026810963871873563,0.3539313465358466,0.05333213099012,546,0.1
1148,0 days 00:30:00,0 days 00:15:00,0.3,3,2,3,1.4995524840940182e-185,0.99,32467860,19890434,2546538,4554568,0.6664348454810314,0.6226505481050936,0.186318986596933,0.6413885386304612,0.28875625481279654,0.12721336514837941,0.06360668257418972,0.2614977423413384,0.16874057575077228,546,0.1
1149,0 days 00:30:00,0 days 00:15:00,0.3,3,2,3,1.9918917765111035e-192,0.95,32726364,21491928,1783303,3457805,0.6679207166201795,0.6085525417343599,0.13859086187415312,0.6597469466380009,0.22906317846528354,0.09759353979024245,0.04879676989512122,0.2633506898175168,0.12934576529205288,546,0.1
1150,0 days 00:30:00,0 days 00:15:00,0.3,3,2,3,2.0284740175363344e-192,0.9,33072638,22094254,1437626,2854882,0.6688864761716191,0.6042361678725315,0.11442809081645151,0.6650848408436281,0.19526138817639663,0.0821976094937338,0.04109880474686689,0.26458640420884355,0.10819372229150359,546,0.1
1151,0 days 00:30:00,0 days 00:15:00,0.3,3,2,3,1.206019773093639e-192,0.8,33435458,22800259,1058592,2165091,0.670366269213885,0.5987371046461956,0.08672383924118829,0.6716203175064049,0.1536122931212291,0.06369651132107781,0.03184825566053891,0.26617943017851686,0.08319611994216711,546,0.1
1152,0 days 00:30:00,0 days 00:15:00,0.3,3,2,3,3.1847018663511914e-195,0.7,33496348,23434122,811023,1717907,0.671626932686906,0.5922403354221536,0.06830093110977249,0.67930191820256,0.12412192800112162,0.05075204165508904,0.02537602082754447,0.2676748580360095,0.06616737508363808,546,0.1
1153,0 days 00:30:00,0 days 00:15:00,0.3,3,2,3,1.2361854327519179e-192,0.6,33854008,23609495,640805,1355092,0.6717761232666362,0.5921536376081831,0.0542805695123256,0.6789388430364893,0.10052430809476566,0.0409022194602511,0.020451109730125552,0.2680781442030054,0.05292213452541558,546,0.1
1154,0 days 00:30:00,0 days 00:15:00,0.3,3,2,3,3.159470214011528e-181,0.5,34817581,23087020,520443,1034356,0.6706483691111265,0.6029649979649979,0.042881301630553745,0.6652667000686262,0.08056932155977282,0.033062740921430064,0.016531370460715063,0.26655883227760213,0.041975634996750846,546,0.1
1155,0 days 00:30:00,0 days 00:15:00,0.3,3,2,4,1.5395942880762309e-266,0.99,31472412,21235368,2713937,4037683,0.6184370412600619,0.5972158313067404,0.1597623887990413,0.5980317316436647,0.2521607794190922,0.08886581040842507,0.044432905204212496,0.19514304993481646,0.14427000861972,546,0.1
1156,0 days 00:30:00,0 days 00:15:00,0.3,3,2,4,2.241114642612627e-267,0.95,32192407,22297979,1952550,3016464,0.6198058140874169,0.5921497862406954,0.11915980138294964,0.6070548402560347,0.199215300947973,0.06916362080859487,0.034581810404297426,0.19784542485567402,0.1106269400516588,546,0.1
1157,0 days 00:30:00,0 days 00:15:00,0.3,3,2,4,6.61722815720933e-262,0.9,32821847,22570969,1594907,2471677,0.6210973547607914,0.5935734972098609,0.0986987157826693,0.6078017815444117,0.16982084376673653,0.05909919112080044,0.029549595560400266,0.2003307297025988,0.09278919125942237,546,0.1
1158,0 days 00:30:00,0 days 00:15:00,0.3,3,2,4,6.603262897277588e-262,0.8,33238401,23167449,1178304,1875246,0.6225276275330347,0.5905482900937447,0.07488195659452787,0.6141199587365526,0.13348730408636456,0.046166027033623325,0.023083013516811607,0.20339218847868035,0.07151695478879351,546,0.1
1159,0 days 00:30:00,0 days 00:15:00,0.3,3,2,4,4.267941895611163e-258,0.7,33684183,23380319,925276,1469622,0.6224699508527421,0.5912236753145844,0.05913985872240099,0.6136470112714613,0.10788259750773348,0.03713652704480556,0.01856826352240281,0.20392961813623334,0.05701686236046044,546,0.1
