,window_size(minutes),dt(minutes),max_dist(deg),min_samples,grid_km,pred(hours),thr(%),thr_future(%),tn,fp,fn,tp,roc_auc,accuracy,precision,recall,f1,hss,hss2,tss,csi,n_cases,gauss_bandwith
74,0 days 00:30:00,0 days 00:30:00,0.2,3,2,5,5.249363299538599e-72,0.7,62281369,33776502,1047676,1993453,0.702768788675181,0.6485920342283978,0.05572981570706477,0.6554976786581562,0.10272596354175524,0.048927245411575795,0.02446362270578797,0.3038710847270873,0.054143977921882046,910,0.1
75,0 days 00:30:00,0 days 00:30:00,0.2,3,2,5,2.9803207682187156e-69,0.6,63183731,33522195,835651,1557423,0.7031548987683885,0.6532977527522982,0.04439680614538049,0.6508043629240049,0.08312309134342417,0.039705968169483664,0.01985298408474192,0.30416381682138033,0.04336381275607319,910,0.1
76,0 days 00:30:00,0 days 00:30:00,0.2,3,2,5,8.296712364855222e-69,0.5,63481867,33756841,650009,1210283,0.7026314880876185,0.6528032573487119,0.034612025856058395,0.6505876496808028,0.06572728317403534,0.03119157095571729,0.015595785477858655,0.30343329423626114,0.03398035995766419,910,0.1
77,0 days 00:30:00,0 days 00:30:00,0.2,3,2,6,4.5334499396961764e-108,0.99,55718888,35124112,2869810,5386190,0.675574929779974,0.6166064036973128,0.1329585249697719,0.6523970445736434,0.22089802913495474,0.09573643121880838,0.04786821560940416,0.26575072069618455,0.1241626577635392,910,0.1
78,0 days 00:30:00,0 days 00:30:00,0.2,3,2,6,2.317966891301627e-115,0.95,55283190,37778395,1982034,4055381,0.6758258108662303,0.5987807243261789,0.09694035269491331,0.671708173117137,0.16942887424714376,0.07045131809238984,0.035225659046194895,0.26575769419503403,0.09255519868284987,910,0.1
79,0 days 00:30:00,0 days 00:30:00,0.2,3,2,6,1.39279686610782e-117,0.9,55291114,38885361,1580756,3341769,0.675982054261149,0.5916596837505929,0.07913796177954789,0.6788729361455756,0.14175157803381594,0.05793232161992799,0.02896616080996395,0.2659740566748798,0.07628236158211332,910,0.1
80,0 days 00:30:00,0 days 00:30:00,0.2,3,2,6,2.3516685502560045e-115,0.8,56086687,39335449,1179665,2497199,0.6767155013354933,0.5911652589834409,0.05969497795119257,0.679165451863327,0.10974404647538298,0.04457392067784372,0.022286960338921778,0.2669398336902021,0.05805777057374245,910,0.1
81,0 days 00:30:00,0 days 00:30:00,0.2,3,2,6,1.4256752028389885e-113,0.7,56661688,39565238,923306,1948768,0.6769342981710194,0.591433374706102,0.046942422275508655,0.6785229071395793,0.08780987192381036,0.035522565175525905,0.017761282587762967,0.26735693058120935,0.04592109886695934,910,0.1
82,0 days 00:30:00,0 days 00:30:00,0.2,3,2,6,4.328291234132921e-110,0.6,57478933,39361242,737865,1520960,0.6769399681798445,0.5953631519995156,0.037203475487939716,0.6733412282934712,0.07051107058716985,0.02854383950579971,0.014271919752899905,0.26688551918307357,0.03654391041705916,910,0.1
83,0 days 00:30:00,0 days 00:30:00,0.2,3,2,6,8.878451843504429e-109,0.5,57881292,39462346,576760,1178602,0.6767977808171253,0.5959686172413445,0.02900035697986179,0.671429596858084,0.055599272672550985,0.022400331518290836,0.011200165759145418,0.266037454024877,0.028594554554076612,910,0.1
84,0 days 00:30:00,0 days 00:30:00,0.2,3,5,1,2.005065400422009e-19,0.99,11868940,2345434,370912,1270554,0.8823356347223524,0.8286848252757344,0.3513711881787218,0.7740361359906328,0.48333432874543464,0.3975414354757855,0.19877071773789268,0.6090317538067955,0.3186821841531014,910,0.1
85,0 days 00:30:00,0 days 00:30:00,0.2,3,5,1,3.080341751383083e-17,0.95,12200673,2455149,267522,932496,0.8817597104760914,0.8282859186268278,0.275263789446651,0.7770683439748404,0.40652332135119773,0.3318416000649151,0.1659208000324574,0.6095479551491573,0.2551172080509591,910,0.1
86,0 days 00:30:00,0 days 00:30:00,0.2,3,5,1,4.915097776439259e-16,0.9,12382010,2494880,217639,761311,0.8815107358909097,0.8289261874489148,0.2338041595225833,0.7776811890290618,0.35952096990395366,0.2923363033287864,0.14616815166439315,0.6099794718018725,0.21915608996410302,910,0.1
87,0 days 00:30:00,0 days 00:30:00,0.2,3,5,1,7.248153585584659e-15,0.8,12570358,2553937,161616,569929,0.8811720889944197,0.8287348383939293,0.18244348509187014,0.7790757916464469,0.295651488258969,0.2387348203676952,0.11936741018384767,0.6102125818241048,0.17346891567203837,910,0.1
88,0 days 00:30:00,0 days 00:30:00,0.2,3,5,1,3.05376253354384e-14,0.7,12679372,2605151,125231,446086,0.8810363613216491,0.8277995993905085,0.14619841067737446,0.7808029517763343,0.24628259509727116,0.19757658492703298,0.09878829246351632,0.6103592290641502,0.14043459590967075,910,0.1
89,0 days 00:30:00,0 days 00:30:00,0.2,3,5,1,1.28571096118562e-13,0.6,12780339,2626166,98488,350847,0.8807427822470139,0.828160854297218,0.11785202147252968,0.7808138693847575,0.20479355862276688,0.16360549040836242,0.08180274520418114,0.6103556116553114,0.11407799899918745,910,0.1
90,0 days 00:30:00,0 days 00:30:00,0.2,3,5,1,1.28571096118562e-13,0.5,12803322,2703222,75505,273791,0.8802252688316031,0.8247505650914742,0.09196835888859067,0.7838366313957217,0.16462150690149352,0.1303283220562657,0.06516416102813304,0.6095088121214849,0.08969349238890648,910,0.1
